name,FOLD1
use_original,True
fine_tune,False
arch,vit_small
patch_size,8
out_dim,65536
norm_last_layer,True
momentum_teacher,0.9995
use_bn_in_head,False
warmup_teacher_temp,0.04
teacher_temp,0.04
warmup_teacher_temp_epochs,0
use_fp16,True
weight_decay,0.01
weight_decay_end,0.01
clip_grad,3.0
batch_size_per_gpu,8
epochs,5
ssl_epoch,5
freeze_last_layer,1
lr,5e-05
warmup_epochs,1
min_lr,1e-06
optimizer,adamw
drop_path_rate,0.1
global_crops_scale,"(0.75, 1.0)"
local_crops_number,8
local_crops_scale,"(0.2, 0.6)"
data_path,toy_dataset/data_splitter_output/
output_dir,outputs/
saveckp_freq,20
seed,0
num_workers,10
dist_url,env://
local_rank,0
total_folds,1
pretrained_dir,outputs/toy_dataset_pretrain/checkpoint.pth
checkpoint_key,each
lam,0.5
correct,500
alpha,True
option_dir,./
